Community	CRank	Conductance	Modularity	Random
0	0.899457	0.819795	-0.000735	7.8E-05
1	1	0.847104	-0.003408	0.315378
2	0.469566	0.898	-0.009099	0.556053
3	1	0.847366	-0.006085	0.586501
4	0.899457	0.841978	-0.009477	0.327672
5	0.722646	0.898496	-0.006196	0.189592
6	1	0.868786	-0.005424	0.470446
7	0.899457	0.858252	-0.007585	0.788647
8	0.899457	0.826496	-0.009135	0.792964
9	0.823189	0.912865	-0.002298	0.346929
10	0.545835	0.893237	-0.002456	0.835021
11	1	0.821633	-0.009426	0.194164
12	0.469566	0.905465	-0.006234	0.309653
13	0.646377	0.907781	-0.005773	0.345721
14	1	0.863141	-0.008424	0.534616
15	0.268481	0.940925	-0.00234	0.297002
16	1	0.869691	-0.005886	0.711494
17	1	0.837893	-0.006977	0.076982
18	0.268481	0.889125	-0.00425	0.834157
19	1	0.826677	-0.00583	0.668422
20	0.469566	0.910391	-0.006867	0.17486
21	0.469566	0.924749	-0.003927	0.867727
22	0.646377	0.871175	-0.00276	0.889766
23	0.545835	0.846044	0.002256	0.304365
24	0.545835	0.863752	0.002195	0.461669
25	0.545835	0.879268	-0.006428	0.269288
26	0.545835	0.947909	-0.003108	0.919649
27	0.622104	0.896411	-0.002043	0.53919
28	0.823189	0.899717	-0.003209	0.159994
29	0.622104	0.913371	-0.002547	0.011906
30	0.722646	0.858167	-0.004381	0.103208
31	0.823189	0.855026	-0.004194	0.62198
32	0.899457	0.896598	-0.003933	0.62453
33	0.722646	0.866534	-0.004059	0.474645
34	0.167939	0.941726	-0.002147	0.360819
35	0.445292	0.88939	-0.002838	0.282342
36	0.823189	0.848044	-0.005944	0.326386
37	0.622104	0.892078	-0.005067	0.564105
38	0.167939	0.943411	-0.001866	0.910374
39	0.445292	0.929138	0.001036	0.653387
40	0.646377	0.897379	-0.00548	0.470389
41	0.369024	0.893524	-0.002431	0.825503
42	0.646377	0.873952	-0.006959	0.226604
43	0.722646	0.876229	-0.007363	0.533558
44	0.268481	0.901028	0.000636	0.515186
45	0.622104	0.892317	-0.006441	0.726859
46	0.469566	0.90856	-0.005099	0.316347
47	0.545835	0.89772	-0.001852	0.847071
48	0.823189	0.920158	-0.002627	0.7271
49	0.167939	0.884948	-0.001886	0.364114
50	0.268481	0.938714	-0.0043	0.664948
51	0.622104	0.891484	-0.001842	0.777318
52	0.899457	0.910333	-0.004691	0.377744
53	0.167939	0.930717	-0.001599	0.749068
54	0.469566	0.893753	0.000942	0.59265
55	0.268481	0.908753	-0.003428	0.665072
56	0.268481	0.907155	-0.004258	0.865174
57	0.167939	0.922001	-0.001537	0.976563
58	0.268481	0.955585	-0.001568	0.092081
59	0.369024	0.903787	-0.001142	0.605643
60	0.167939	0.923362	-0.002717	0.046531
61	0.369024	0.938133	-0.000181	0.045229
62	0.268481	0.901323	-0.002125	0.16292
63	0.268481	0.916667	-0.004212	0.190329
64	0.646377	0.909671	-0.004312	0.866421
65	0.167939	0.922415	-0.002501	0.939767
66	0.268481	0.867235	-0.003498	0.661445
67	0.268481	0.955692	-0.000647	0.907329
68	0.722646	0.939692	0.000901	0.477642
69	0.445292	0.914779	-0.003152	0.737491
70	0.899457	0.927408	0.000555	0.007071
71	0.545835	0.909814	-0.002242	0.841421
72	0.722646	0.919189	-0.000527	0.770818
73	0.445292	0.957664	-0.001478	0.138174
74	0.469566	0.89282	-0.003234	0.297474
75	0.445292	0.943183	-0.000201	0.644458
76	0.369024	0.94552	-0.000201	0.4098
77	0.445292	0.88881	-0.004966	0.50084
78	0.445292	0.915131	-0.001724	0.615143
79	0.268481	0.939648	-0.001975	0.702045
80	0.469566	0.92331	-0.002559	0.278173
81	0.268481	0.897465	-0.001271	0.253654
82	0.469566	0.919695	-0.004724	0.158677
83	0.268481	0.878399	-0.003948	0.884553
84	0.167939	0.933829	-0.002615	0.682471
85	0.369024	0.931973	-0.002154	0.295434
86	0.369024	0.93519	-0.004594	0.362245
87	0.167939	0.944244	-0.001108	0.25412
88	0.545835	0.912887	-0.002103	0.994579
89	0.445292	0.933042	-0.001167	0.885722
90	0.469566	0.904169	-0.003479	0.331949
91	0.167939	0.903834	-0.002342	0.063218
92	0.622104	0.921596	0.001024	0.510152
93	0.823189	0.905525	-0.005106	0.132737
94	0.445292	0.899296	-0.00395	0.911136
95	0.369024	0.915046	-0.001977	0.459816
96	0.268481	0.930553	-0.002768	0.120808
97	0.545835	0.929876	-1.7E-05	0.415106
98	0.622104	0.904803	-0.001404	0.693173
99	0.268481	0.942578	-0.001772	0.153946
100	0.268481	0.934216	0.00032	0.37304
101	0.823189	0.887095	-0.003629	0.679174
102	0.268481	0.894408	-0.002319	0.872124
103	0.722646	0.920367	0.000649	0.783277
104	0.268481	0.930075	-0.001068	0.5372
105	0.445292	0.955059	-0.000553	0.716548
106	0.469566	0.94135	-0.001404	0.024057
107	0.268481	0.898527	-0.002686	0.330538
108	0.646377	0.964688	-0.00047	0.344498
109	0.268481	0.883198	-0.003907	0.984801
110	0.445292	0.91424	-6.5E-05	0.553608
111	0.545835	0.953682	-0.003039	0.482927
112	0.268481	0.92706	-0.00223	0.545838
113	0.268481	0.897618	-0.00201	0.907375
114	0.445292	0.893836	-0.000607	0.248493
115	0.445292	0.938171	-0.002559	0.420396
116	0.722646	0.939484	0.000898	0.597675
117	0.445292	0.935348	-0.000632	0.127515
118	0.722646	0.921363	-0.001878	0.1471
119	0.722646	0.932588	-0.001084	0.304273
120	0.369024	0.927653	-0.000786	0.909903
121	0.445292	0.95423	-0.001077	0.745881
122	0.369024	0.920598	-0.0015	0.029996
123	0.622104	0.934253	-0.001147	0.142933
124	0.369024	0.934837	-0.001496	0.268763
125	0.545835	0.935486	-0.000694	0.098196
126	0.622104	0.921047	-0.00189	0.378973
127	0.369024	0.918061	-0.001819	0.399108
128	0.268481	0.938959	-0.000708	0.808959
129	0.167939	0.924366	-0.00337	0.175395
130	0.167939	0.933281	-0.002417	0.869907
