Community	CRank	Conductance	Modularity	Random
1	1.000000	0.600600	0.029301	0.000078
2	1.000000	0.567248	0.030901	0.315378
3	1.000000	0.556882	0.032653	0.556053
4	1.000000	0.506751	0.034674	0.586501
5	1.000000	0.568217	0.011888	0.327672
6	1.000000	0.485510	0.035145	0.189592
7	1.000000	0.503834	0.033305	0.470446
8	1.000000	0.479512	0.030384	0.788647
9	1.000000	0.529123	0.014511	0.792964
10	1.000000	0.495383	0.033854	0.346929
11	1.000000	0.519943	0.018520	0.835021
12	1.000000	0.509424	0.027216	0.194164
13	1.000000	0.472279	0.034431	0.309653
14	1.000000	0.491466	0.022714	0.345721
15	1.000000	0.501541	0.018802	0.534616
16	1.000000	0.497449	0.021286	0.297002
17	1.000000	0.475535	0.032852	0.711494
18	1.000000	0.494174	0.016895	0.076982
19	1.000000	0.532050	0.008790	0.834157
20	1.000000	0.476352	0.026318	0.668422
21	0.712323	0.491647	0.017019	0.174860
22	1.000000	0.452818	0.025755	0.867727
23	1.000000	0.477276	0.029169	0.889766
24	1.000000	0.452239	0.025904	0.304365
25	1.000000	0.460641	0.020460	0.461669
26	1.000000	0.490558	0.022546	0.269288
27	0.712323	0.459856	0.028615	0.919649
28	1.000000	0.505301	0.011298	0.539190
29	0.712323	0.474168	0.016032	0.159994
30	0.424645	0.475985	0.028552	0.011906
31	0.712323	0.497283	0.012301	0.103208
32	0.712323	0.495761	0.015014	0.621980
33	0.424645	0.517798	0.008168	0.624530
34	0.424645	0.526162	0.008778	0.474645
35	0.424645	0.500028	0.018621	0.360819
36	0.424645	0.544050	0.007026	0.282342
37	0.424645	0.479691	0.027857	0.326386
38	0.424645	0.550887	0.002913	0.564105
39	0.712323	0.526564	0.014550	0.910374
40	0.424645	0.570249	0.004227	0.653387
41	0.424645	0.546733	0.015466	0.470389
42	0.424645	0.572959	0.001477	0.825503
43	0.424645	0.596201	0.005149	0.226604
44	0.424645	0.559524	0.013411	0.533558
45	0.424645	0.591874	0.001497	0.515186
46	0.424645	0.577899	0.009753	0.726859
47	0.424645	0.604624	0.002599	0.316347
48	0.424645	0.598230	0.009839	0.847071
49	0.424645	0.621492	0.002191	0.727100
50	0.424645	0.608125	0.002848	0.364114
51	0.424645	0.592394	0.005691	0.664948
52	0.424645	0.642943	-0.002532	0.777318
53	0.263541	0.620335	0.001954	0.377744
54	0.263541	0.629397	0.003623	0.749068
55	0.102436	0.622482	0.004656	0.592650
56	0.263541	0.624897	0.002344	0.665072
57	0.424645	0.609043	0.022197	0.865174
58	0.424645	0.619674	0.003504	0.976563
59	0.263541	0.623208	0.008624	0.092081
60	0.102436	0.653969	-0.001018	0.605643
61	0.263541	0.658680	-0.004817	0.046531
62	0.263541	0.655377	0.002422	0.045229
63	0.263541	0.668135	-0.001197	0.162920
64	0.102436	0.638905	0.005072	0.190329
65	0.263541	0.659025	0.001181	0.866421
66	0.263541	0.685332	-0.006968	0.939767
67	0.102436	0.671615	-0.000858	0.661445
68	0.102436	0.680660	0.001716	0.907329
69	0.263541	0.691831	-0.001833	0.477642
70	0.102436	0.678122	-0.000710	0.737491
71	0.102436	0.692074	-0.000361	0.007071
72	0.102436	0.699906	0.000178	0.841421
73	0.102436	0.696556	0.000433	0.770818
74	0.102436	0.726571	-0.002515	0.138174
75	0.102436	0.741845	-0.006024	0.297474
76	0.102436	0.729427	-0.004910	0.644458
77	0.102436	0.723305	0.002994	0.409800
78	0.102436	0.770605	-0.006016	0.500840
79	0.263541	0.757033	-0.004111	0.615143
80	0.102436	0.786217	-0.009773	0.702045
81	0.102436	0.784786	-0.004178	0.278173
82	0.102436	0.789439	0.007986	0.253654
83	0.102436	0.812677	0.000434	0.158677
84	0.102436	0.849606	-0.003679	0.884553
85	0.102436	0.852509	-0.004232	0.682471
86	0.102436	0.870311	-0.002263	0.295434
87	0.102436	0.891905	-0.001236	0.362245
88	0.102436	0.915525	-0.003750	0.254120
89	0.098185	0.938788	0.000908	0.994579
90	0.102436	0.936534	0.000983	0.885722
91	0.712323	0.852321	0.000149	0.331949
92	0.551218	0.473684	0.000043	0.063218
